game_uid,sequence,winner_side,winner
1pSvnZLFI1_R02-M001_G2,"blue_ban_Fanny,red_ban_Wanwan,blue_ban_Faramis,red_ban_Joy,blue_ban_Gloo,red_ban_Kaja,blue_ban_Kadita,red_ban_Atlas,blue_ban_Fredrinn,red_ban_Chou,blue_pick_Lapu-Lapu,red_pick_Arlott,red_pick_Lancelot,blue_pick_Martis,blue_pick_Valentina,red_pick_Pharsa,red_pick_Karrie,blue_pick_Beatrix,blue_pick_Akai,red_pick_Franco",red,0
1pSvnZLFI1_R02-M001_G3,"blue_ban_Fanny,red_ban_Wanwan,blue_ban_Gloo,red_ban_Joy,blue_ban_Faramis,red_ban_Kaja,blue_ban_Khufra,red_ban_Lapu-Lapu,blue_ban_Lolita,red_ban_Yu Zhong,blue_pick_Fredrinn,red_pick_Arlott,red_pick_Helcurt,blue_pick_Martis,blue_pick_Yve,red_pick_Valentina,red_pick_Harith,blue_pick_Karrie,blue_pick_Franco,red_pick_Atlas",red,0
1pSvnZLFI1_RxMTP_G1,"blue_ban_Kaja,red_ban_Wanwan,blue_ban_Natalia,red_ban_Faramis,blue_ban_Franco,red_ban_Joy,blue_ban_Ling,red_ban_Melissa,blue_ban_Yve,red_ban_Lolita,blue_pick_Arlott,red_pick_Gloo,red_pick_Helcurt,blue_pick_Fredrinn,blue_pick_Valentina,red_pick_Pharsa,red_pick_Karrie,blue_pick_Beatrix,blue_pick_Estes,red_pick_Khufra",red,0
1pSvnZLFI1_RxMTP_G2,"blue_ban_Natalia,red_ban_Wanwan,blue_ban_Franco,red_ban_Kaja,blue_ban_Faramis,red_ban_Joy,blue_ban_Fredrinn,red_ban_Yve,blue_ban_Akai,red_ban_Pharsa,blue_pick_Gloo,red_pick_Arlott,red_pick_Lancelot,blue_pick_Martis,blue_pick_Xavier,red_pick_Valentina,red_pick_Karrie,blue_pick_Claude,blue_pick_Khufra,red_pick_Lolita",red,0
2lknrPLIsd_0001_G1,"blue_ban_Hylos,red_ban_Yu Zhong,blue_ban_Harith,red_ban_Hayabusa,blue_ban_Zhuxin,red_ban_Ling,blue_ban_Arlott,red_ban_Fredrinn,blue_ban_X.Borg,red_ban_Xavier,blue_pick_Terizla,red_pick_Edith,red_pick_Julian,blue_pick_Alpha,blue_pick_Faramis,red_pick_Lylia,red_pick_Roger,blue_pick_Moskov,blue_pick_Chip,red_pick_Tigreal",blue,1
2lknrPLIsd_0001_G2,"blue_ban_Chip,red_ban_Hylos,blue_ban_Julian,red_ban_Harith,blue_ban_Ling,red_ban_Zhuxin,blue_ban_Moskov,red_ban_Valentina,blue_ban_Roger,red_ban_Arlott,blue_pick_X.Borg,red_pick_Terizla,red_pick_Hanzo,blue_pick_Hayabusa,blue_pick_Xavier,red_pick_Faramis,red_pick_Brody,blue_pick_Claude,blue_pick_Akai,red_pick_Edith",red,0
2lknrPLIsd_0002_G1,"blue_ban_Zhask,red_ban_Lolita,blue_ban_Hylos,red_ban_Moskov,blue_ban_Ling,red_ban_Lancelot,blue_ban_Layla,red_ban_Harley,blue_ban_Alucard,red_ban_Yin,blue_pick_Lapu-Lapu,red_pick_Terizla,red_pick_Saber,blue_pick_Leomord,blue_pick_Valentina,red_pick_Valir,red_pick_Hanabi,blue_pick_Karrie,blue_pick_Chip,red_pick_Minotaur",blue,1
2lknrPLIsd_0002_G2,"blue_ban_Chip,red_ban_Zhask,blue_ban_Lancelot,red_ban_Hylos,blue_ban_Moskov,red_ban_Lolita,blue_ban_Roger,red_ban_Layla,blue_ban_Julian,red_ban_Edith,blue_pick_Silvanna,red_pick_Yu Zhong,red_pick_Aamon,blue_pick_Saber,blue_pick_Vexana,red_pick_Zhuxin,red_pick_Beatrix,blue_pick_Hanabi,blue_pick_Khufra,red_pick_Chou",red,0
2lknrPLIsd_0003_G1,"blue_ban_Luo Yi,red_ban_Zhuxin,blue_ban_Helcurt,red_ban_Claude,blue_ban_Dyrroth,red_ban_Ling,blue_ban_Fredrinn,red_ban_Fanny,blue_ban_X.Borg,red_ban_Hayabusa,blue_pick_Barats,red_pick_Yu Zhong,red_pick_Alpha,blue_pick_Hanzo,blue_pick_Faramis,red_pick_Xavier,red_pick_Karrie,blue_pick_Moskov,blue_pick_Chip,red_pick_Minotaur",blue,1
2lknrPLIsd_0003_G2,"blue_ban_Chip,red_ban_Dyrroth,blue_ban_Claude,red_ban_Helcurt,blue_ban_Ling,red_ban_Zhuxin,blue_ban_Hanzo,red_ban_Luo Yi,blue_ban_Grock,red_ban_Valentina,blue_pick_Yu Zhong,red_pick_Terizla,red_pick_Hayabusa,blue_pick_Fredrinn,blue_pick_Xavier,red_pick_Faramis,red_pick_Moskov,blue_pick_Clint,blue_pick_Tigreal,red_pick_Edith",red,0
